B2,B3,B4,B5,B6,B7,B8,B8A,lat,lon
1620,1818,1902,2279,2254,2277,2172,2298,25.3,83.0
1920,1972,1964,2203,2180,2183,2120,2189,25.3,83.0
2854,2624,2540,2614,2584,2594,2564,2491,25.3,83.0
1262,1424,1610,1767,1857,1960,1990,1969,25.3,83.0
1268,1422,1604,1759,1849,1953,1982,1962,25.3,83.0
1412,1534,1610,1840,1831,1863,1836,1898,25.3,83.0
1466,1570,1626,1851,1827,1852,1820,1881,25.3,83.0
1272,1454,1578,1861,1857,1903,1863,1949,25.3,83.0
747,802,870,1037,1052,1133,1052,1146,25.3,83.0
607,670,770,915,905,1001,943,1046,25.3,83.0
795,836,888,1049,1063,1148,1070,1160,25.3,83.0
1086,1198,1324,1620,1711,1821,1762,1900,25.3,83.0
949,1114,1290,1632,1728,1847,1776,1941,25.3,83.0
1086,1196,1326,1631,1725,1835,1772,1914,25.3,83.0
974,1182,1382,1553,1689,1715,1866,1800,25.3,83.0
944,1150,1368,1540,1686,1727,1750,1848,25.3,83.0
824,1088,1354,1549,1706,1748,1764,1878,25.3,83.0
948,1124,1330,1530,1677,1704,1695,1830,25.3,83.0
864,1098,1362,1577,1739,1765,1760,1907,25.3,83.0
1052,1312,1470,1563,1724,1834,1964,1908,25.3,83.0
944,1288,1518,1580,1758,1888,2050,1974,25.3,83.0
1090,1346,1518,1582,1745,1858,2007,1938,25.3,83.0
998,1324,1538,1598,1775,1909,2066,1995,25.3,83.0
1100,1318,1552,1760,1896,1969,1994,2038,25.3,83.0
1026,1272,1538,1774,1922,1996,2006,2068,25.3,83.0
1024,1260,1526,1756,1901,1978,2005,2059,25.3,83.0
1062,1296,1558,1786,1933,2010,2029,2089,25.3,83.0
977,1254,1554,1663,1816,1951,2056,1987,25.3,83.0
1074,1292,1542,1647,1793,1919,2017,1949,25.3,83.0
1088,1316,1570,1679,1830,1957,2060,1992,25.3,83.0
995,1226,1490,1717,1882,1900,1952,2050,25.3,83.0
938,1194,1484,1722,1899,1921,1968,2075,25.3,83.0
1054,1256,1496,1713,1873,1891,1944,2033,25.3,83.0
1048,1262,1518,1740,1909,1927,1979,2076,25.3,83.0
1094,1294,1584,1807,1888,1976,2046,2083,25.3,83.0
1046,1240,1526,1791,1867,1961,1994,2065,25.3,83.0
1154,1322,1590,1801,1884,1969,2037,2071,25.3,83.0
1152,1334,1610,1828,1915,2004,2073,2109,25.3,83.0
1011,1274,1508,1656,1800,1899,2024,2078,25.3,83.0
863,1208,1508,1666,1826,1935,2078,2142,25.3,83.0
932,1238,1512,1665,1812,1916,2059,2119,25.3,83.0
929,1248,1528,1684,1840,1949,2091,2155,25.3,83.0
1108,1354,1606,1769,1990,2157,2222,2318,25.3,83.0
1168,1396,1620,1792,2001,2158,2230,2326,25.3,83.0
1208,1460,1702,1807,2029,2188,2308,2213,25.3,83.0
1228,1472,1704,1815,2037,2196,2318,2228,25.3,83.0
1238,1476,1704,1812,2030,2189,2304,2214,25.3,83.0
1262,1498,1722,1828,2051,2210,2334,2243,25.3,83.0
1166,1432,1624,1809,1924,2212,2286,2185,25.3,83.0
1162,1438,1632,1820,1937,2234,2302,2201,25.3,83.0
1188,1438,1624,1805,1920,2206,2280,2177,25.3,83.0
1136,1520,1680,1869,2018,2218,2272,2286,25.3,83.0
1218,1570,1720,1873,2022,2219,2304,2294,25.3,83.0
1236,1588,1740,1894,2049,2243,2332,2324,25.3,83.0
1242,1478,1738,1935,2079,2417,2652,2533,25.3,83.0
1260,1494,1744,1945,2098,2418,2652,2550,25.3,83.0
1288,1516,1764,1958,2112,2440,2674,2563,25.3,83.0
1204,1548,1772,1878,2139,2290,2502,2375,25.3,83.0
1206,1566,1798,1898,2167,2323,2534,2404,25.3,83.0
1234,1560,1778,1882,2144,2287,2500,2372,25.3,83.0
1236,1584,1812,1910,2181,2333,2552,2420,25.3,83.0
1362,1638,1890,2005,2265,2396,2564,2506,25.3,83.0
